who,tick,yearly-need,energy-obtained,wood-taken,dist-travel-year,trips-home-counter,no-place,extra-energy-obtained,lifetime-pinyon,lifetime-juniper,max-travel,time_v_energy_max,live_wood_energy,standing_dead_energy,excess_vol_pinyon,excess_vol_juniper,max_truck_capacity,proportion_harvest_remain
52,50,1374,1374,65.42857142857143,78.41158677200764,2,false,0,65.42857142857143,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,50,1125,1125,61.77831358191001,72.775910757124,2,false,0,52.98522249925132,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
51,50,1329,1329,63.285714285714285,71.15003894569563,2,false,0,63.285714285714285,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,51,1329,1329,63.285714285714285,101.128656224651,2,false,0,126.57142857142856,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,51,1125,1125,53.57142857142857,100.07996802557443,2,false,0,106.55665107067989,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
52,51,1374,1374,65.42857142857143,102.53760300641397,2,false,0,130.85714285714286,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,52,1329,1329,63.285714285714285,112.7968727203521,2,false,0,189.85714285714283,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,52,1125,1125,53.57142857142857,133.2998677031666,2,false,0,160.12807964210847,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
52,52,1374,1374,65.42857142857143,95.04934758661345,2,false,0,196.28571428571428,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,53,1329,1329,63.285714285714285,126.33781870770173,2,false,0,253.1428571428571,0,700,0,0,0.875,0.1,0.3,0.5,0.1
52,53,1374,1374,65.42857142857143,100.43932343447123,2,false,0,261.7142857142857,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,53,1125,1125,53.57142857142857,100.43932343447123,2,false,0,213.69950821353706,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
51,54,1329,1329,63.285714285714285,140.68003700626184,2,false,0,316.4285714285714,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,54,1125,1125,53.57142857142857,144.3663756323756,2,false,0,267.2709367849656,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
52,54,1374,1374,65.42857142857143,118.75636871321916,2,false,0,327.14285714285717,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,55,1329,1329,72.23166564197037,108.486284298968,2,false,0,379.07528918883884,9.584947881702938,700,0,0,0.875,0.1,0.3,0.5,0.1
52,55,1374,1374,65.42857142857143,118.75636871321916,2,false,0,392.5714285714286,0,700,0,0,0.875,0.1,0.3,0.5,0.1
50,55,1125,1125,53.57142857142857,98.11913586182271,2,false,0,320.84236535639417,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
52,56,1374,1374,65.42857142857143,108.63143762110363,2,false,0,458.00000000000006,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,56,1329,1329,63.285714285714285,78.86085893932578,2,false,0,442.3610034745531,9.584947881702938,700,0,0,0.875,0.1,0.3,0.5,0.1
50,56,1125,1125,53.57142857142857,111.13345776680862,2,false,0,374.4137939278227,8.793091082658684,700,0,0,0.875,0.1,0.3,0.5,0.1
50,57,1125,1125,155.3330278000523,239.5236279934535,4,false,0,523.230986727875,15.308926082658683,700,0,0,0.875,0.1,0.3,0.5,0.1
52,57,1374,1374,65.42857142857143,93.19128981134727,2,false,0,523.4285714285714,0,700,0,0,0.875,0.1,0.3,0.5,0.1
51,57,1329,1329,153.64638803201146,201.7244018703707,4,false,0,596.0073915065644,9.584947881702938,700,0,0,0.875,0.1,0.3,0.5,0.1
50,58,1125,1125,157.6441831238502,235.68155960692502,4,false,0,679.9211530844186,16.2629428499654,700,0,0,0.875,0.1,0.3,0.5,0.1
52,58,1374,962.8917341113194,299.8396595334179,699.5256542861746,8,true,0,765.3599947242576,57.90823623773145,700,0,0,0.875,0.1,0.3,0.5,0.1
51,58,1329,1329,279.8680020127317,492.2987089753074,7,false,0,869.37143550799,16.08890589300917,700,0,0,0.875,0.1,0.3,0.5,0.1
52,59,1374,1374,70.98356901701976,64.33617122687846,2,false,0,830.391780610797,63.8600193682118,700,0,0,0.875,0.1,0.3,0.5,0.1
51,59,1329,1329,63.285714285714285,141.75781861042475,2,false,0,932.6571497937043,16.08890589300917,700,0,0,0.875,0.1,0.3,0.5,0.1
50,59,1125,212.1049132248147,89.58809528194273,699.7202208473826,4,true,0,756.3330113107728,29.439179905554177,700,0,0,0.875,0.1,0.3,0.5,0.1
51,60,1329,0,0,0,1,true,0,932.6571497937043,16.08890589300917,700,0,0,0.875,0.1,0.3,0.5,0.1
50,60,1125,516.4131678611438,103.85938395397031,672.2697960971018,4,true,0,838.014901636727,51.616673533570484,700,0,0,0.875,0.1,0.3,0.5,0.1
52,60,1374,0,0,0,1,true,0,830.391780610797,63.8600193682118,700,0,0,0.875,0.1,0.3,0.5,0.1
52,61,1374,1374,65.42857142857143,126.30351654751225,2,false,0,895.8203520393685,63.8600193682118,700,0,0,0.875,0.1,0.3,0.5,0.1
51,61,1329,426.10541321563534,87.83482684199465,279.05350673940586,3,true,0,1011.148936504931,25.43194602377697,700,0,0,0.875,0.1,0.3,0.5,0.1
50,61,1125,0,0,0,1,true,0,838.014901636727,51.616673533570484,700,0,0,0.875,0.1,0.3,0.5,0.1
52,62,1374,1374,65.42857142857143,112.02654226390591,2,false,0,961.2489234679399,63.8600193682118,700,0,0,0.875,0.1,0.3,0.5,0.1
50,62,1125,1125,53.57142857142857,117.51390160461949,2,false,0,891.5863302081556,51.616673533570484,700,0,0,0.875,0.1,0.3,0.5,0.1
51,62,1329,1329,63.285714285714285,117.51390160461949,2,false,0,1074.4346507906453,25.43194602377697,700,0,0,0.875,0.1,0.3,0.5,0.1
50,63,1125,1125,53.57142857142857,108.47337715910383,2,false,0,945.1577587795841,51.616673533570484,700,0,0,0.875,0.1,0.3,0.5,0.1
51,63,1329,1329,63.285714285714285,108.47337715910385,2,false,0,1137.7203650763595,25.43194602377697,700,0,0,0.875,0.1,0.3,0.5,0.1
